Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
201601,0,1348,5,0,0,1061,4,0,0,271,1,0
201602,0,1147,3,0,0,643,1,0,0,486,2,0
201603,1,1091,5,0.2,0,732,3,0,1,359,2,0.5
201604,1,1002,2,0.5,1,890,2,0.5,0,107,0,
201605,1,1184,6,0.1666666667,1,975,6,0.1666666667,0,118,0,
201606,1,1120,4,0.25,1,836,2,0.5,0,283,2,0
201607,0,958,4,0,0,830,4,0,0,128,0,
201608,0,905,3,0,0,766,2,0,0,139,1,0
201609,0,1111,3,0,0,907,2,0,0,203,1,0
201610,2,1184,8,0.25,1,867,3,0.3333333333,1,317,5,0.2
201611,1,1168,6,0.1666666667,1,708,3,0.3333333333,0,445,3,0
201612,0,1272,4,0,0,915,2,0,0,268,2,0
201613,0,1049,1,0,0,1030,1,0,0,0,0,
201614,0,1230,5,0,0,972,4,0,0,231,1,0
201615,0,852,4,0,0,680,3,0,0,172,1,0
201616,1,1118,3,0.3333333333,1,756,1,1,0,362,2,0
201617,0,1140,4,0,0,925,4,0,0,177,0,
201618,1,1064,5,0.2,0,949,4,0,1,73,1,1
201619,3,929,5,0.6,2,720,3,0.6666666667,1,209,2,0.5
201620,0,924,3,0,0,644,1,0,0,280,2,0
201621,0,1342,3,0,0,791,1,0,0,425,2,0
201622,0,1487,4,0,0,735,2,0,0,569,2,0
201623,0,1344,4,0,0,894,4,0,0,383,0,
201624,0,1317,1,0,0,1095,1,0,0,178,0,
201625,0,1053,3,0,0,927,3,0,0,126,0,
201626,0,1005,6,0,0,727,5,0,0,269,1,0
201627,1,1025,5,0.2,0,812,4,0,1,213,1,1
201628,0,961,2,0,0,781,2,0,0,180,0,
201629,1,1181,6,0.1666666667,0,992,4,0,1,189,2,0.5
201630,0,1199,3,0,0,897,3,0,0,178,0,
201631,0,1197,2,0,0,1073,1,0,0,120,1,0
201632,1,1000,3,0.3333333333,1,808,2,0.5,0,192,1,0
201633,1,1200,9,0.1111111111,1,749,6,0.1666666667,0,318,3,0
201634,0,1151,4,0,0,793,3,0,0,358,1,0
201635,1,977,2,0.5,1,919,2,0.5,0,58,0,
201636,0,1049,2,0,0,849,2,0,0,180,0,
201637,1,979,5,0.2,1,875,5,0.2,0,104,0,
201638,0,990,1,0,0,732,0,,0,258,1,0
201639,0,962,3,0,0,796,2,0,0,166,1,0
201640,1,920,5,0.2,0,814,3,0,1,105,2,0.5
201641,2,1012,7,0.2857142857,1,750,4,0.25,1,224,3,0.3333333333
201642,0,969,2,0,0,969,2,0,0,0,0,
201643,0,1076,2,0,0,897,1,0,0,166,1,0
201644,0,1251,3,0,0,910,3,0,0,338,0,
201645,0,1092,2,0,0,920,1,0,0,172,1,0
201646,1,946,3,0.3333333333,0,782,1,0,1,160,2,0.5
201647,0,973,2,0,0,802,1,0,0,164,1,0
201648,0,1261,7,0,0,765,2,0,0,487,5,0
201649,1,1050,4,0.25,1,816,3,0.3333333333,0,230,1,0
201650,1,1183,4,0.25,1,1036,4,0.25,0,80,0,
201651,1,1169,5,0.2,0,936,4,0,1,233,1,1
201652,0,1082,5,0,0,839,4,0,0,243,1,0
201653,0,1104,4,0,0,921,3,0,0,183,1,0
201654,1,1038,4,0.25,0,778,2,0,1,249,2,0.5
201655,0,834,0,,0,779,0,,0,44,0,
201656,0,894,2,0,0,686,1,0,0,188,1,0
201657,0,1271,4,0,0,838,1,0,0,414,3,0
201658,1,1082,4,0.25,0,813,2,0,1,188,2,0.5
201659,0,1038,0,,0,935,0,,0,84,0,
201660,0,1111,3,0,0,871,2,0,0,240,1,0
201661,0,1236,0,,0,1057,0,,0,87,0,
201662,0,1070,4,0,0,923,2,0,0,127,2,0
201663,0,1233,3,0,0,788,1,0,0,378,2,0
201664,0,1145,1,0,0,805,1,0,0,327,0,
201665,0,1250,9,0,0,900,5,0,0,272,4,0
201666,0,1286,2,0,0,698,1,0,0,495,1,0
201667,0,1128,6,0,0,829,6,0,0,218,0,
201668,0,1143,4,0,0,796,1,0,0,340,3,0
201669,1,1091,3,0.3333333333,1,819,3,0.3333333333,0,272,0,
201670,0,1110,3,0,0,1048,3,0,0,62,0,
201671,0,1267,7,0,0,1060,5,0,0,191,2,0
201672,1,1090,11,0.09090909091,0,904,8,0,1,186,3,0.3333333333
201673,0,1212,8,0,0,940,8,0,0,272,0,
201674,1,1049,4,0.25,0,729,1,0,1,320,3,0.3333333333
201675,3,975,6,0.5,0,811,3,0,3,164,3,1
201676,0,1083,1,0,0,818,0,,0,262,1,0
201677,0,1048,3,0,0,1007,3,0,0,41,0,
201678,0,927,2,0,0,820,1,0,0,107,1,0
201679,0,1137,3,0,0,986,2,0,0,146,1,0
