Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
1,0,0:22:28,5,0,0,0:17:41,4,0,0,0:04:31,1,0
2,0,0:19:07,3,0,0,0:10:43,1,0,0,0:08:06,2,0
3,1,0:18:11,5,0.2,0,0:12:12,3,0,1,0:05:59,2,0.5
4,1,0:16:42,2,0.5,1,0:14:50,2,0.5,0,0:01:47,0,
5,1,0:19:44,6,0.1666666667,1,0:16:15,6,0.1666666667,0,0:01:58,0,
6,1,0:18:40,4,0.25,1,0:13:56,2,0.5,0,0:04:43,2,0
7,0,0:15:58,4,0,0,0:13:50,4,0,0,0:02:08,0,
8,0,0:15:05,3,0,0,0:12:46,2,0,0,0:02:19,1,0
9,0,0:18:31,3,0,0,0:15:07,2,0,0,0:03:23,1,0
10,2,0:19:44,8,0.25,1,0:14:27,3,0.3333333333,1,0:05:17,5,0.2
11,1,0:19:28,6,0.1666666667,1,0:11:48,3,0.3333333333,0,0:07:25,3,0
12,0,0:21:12,4,0,0,0:15:15,2,0,0,0:04:28,2,0
13,0,0:17:29,1,0,0,0:17:10,1,0,0,0:00:00,0,
14,0,0:20:30,5,0,0,0:16:12,4,0,0,0:03:51,1,0
15,0,0:14:12,4,0,0,0:11:20,3,0,0,0:02:52,1,0
16,1,0:18:38,3,0.3333333333,1,0:12:36,1,1,0,0:06:02,2,0
17,0,0:19:00,4,0,0,0:15:25,4,0,0,0:02:57,0,
18,1,0:17:44,5,0.2,0,0:15:49,4,0,1,0:01:13,1,1
19,3,0:15:29,5,0.6,2,0:12:00,3,0.6666666667,1,0:03:29,2,0.5
20,0,0:15:24,3,0,0,0:10:44,1,0,0,0:04:40,2,0
21,0,0:22:22,3,0,0,0:13:11,1,0,0,0:07:05,2,0
22,0,0:24:47,4,0,0,0:12:15,2,0,0,0:09:29,2,0
23,0,0:22:24,4,0,0,0:14:54,4,0,0,0:06:23,0,
24,0,0:21:57,1,0,0,0:18:15,1,0,0,0:02:58,0,
25,0,0:17:33,3,0,0,0:15:27,3,0,0,0:02:06,0,
26,0,0:16:45,6,0,0,0:12:07,5,0,0,0:04:29,1,0
27,1,0:17:05,5,0.2,0,0:13:32,4,0,1,0:03:33,1,1
28,0,0:16:01,2,0,0,0:13:01,2,0,0,0:03:00,0,
29,1,0:19:41,6,0.1666666667,0,0:16:32,4,0,1,0:03:09,2,0.5
30,0,0:19:59,3,0,0,0:14:57,3,0,0,0:02:58,0,
31,0,0:19:57,2,0,0,0:17:53,1,0,0,0:02:00,1,0
32,1,0:16:40,3,0.3333333333,1,0:13:28,2,0.5,0,0:03:12,1,0
33,1,0:20:00,9,0.1111111111,1,0:12:29,6,0.1666666667,0,0:05:18,3,0
34,0,0:19:11,4,0,0,0:13:13,3,0,0,0:05:58,1,0
35,1,0:16:17,2,0.5,1,0:15:19,2,0.5,0,0:00:58,0,
36,0,0:17:29,2,0,0,0:14:09,2,0,0,0:03:00,0,
37,1,0:16:19,5,0.2,1,0:14:35,5,0.2,0,0:01:44,0,
38,0,0:16:30,1,0,0,0:12:12,0,,0,0:04:18,1,0
39,0,0:16:02,3,0,0,0:13:16,2,0,0,0:02:46,1,0
40,1,0:15:20,5,0.2,0,0:13:34,3,0,1,0:01:45,2,0.5
41,2,0:16:52,7,0.2857142857,1,0:12:30,4,0.25,1,0:03:44,3,0.3333333333
42,0,0:16:09,2,0,0,0:16:09,2,0,0,0:00:00,0,
43,0,0:17:56,2,0,0,0:14:57,1,0,0,0:02:46,1,0
44,0,0:20:51,3,0,0,0:15:10,3,0,0,0:05:38,0,
45,0,0:18:12,2,0,0,0:15:20,1,0,0,0:02:52,1,0
46,1,0:15:46,3,0.3333333333,0,0:13:02,1,0,1,0:02:40,2,0.5
47,0,0:16:13,2,0,0,0:13:22,1,0,0,0:02:44,1,0
48,0,0:21:01,7,0,0,0:12:45,2,0,0,0:08:07,5,0
49,1,0:17:30,4,0.25,1,0:13:36,3,0.3333333333,0,0:03:50,1,0
50,1,0:19:43,4,0.25,1,0:17:16,4,0.25,0,0:01:20,0,
51,1,0:19:29,5,0.2,0,0:15:36,4,0,1,0:03:53,1,1
52,0,0:18:02,5,0,0,0:13:59,4,0,0,0:04:03,1,0
53,0,0:18:24,4,0,0,0:15:21,3,0,0,0:03:03,1,0
54,1,0:17:18,4,0.25,0,0:12:58,2,0,1,0:04:09,2,0.5
55,0,0:13:54,0,,0,0:12:59,0,,0,0:00:44,0,
56,0,0:14:54,2,0,0,0:11:26,1,0,0,0:03:08,1,0
57,0,0:21:11,4,0,0,0:13:58,1,0,0,0:06:54,3,0
58,1,0:18:02,4,0.25,0,0:13:33,2,0,1,0:03:08,2,0.5
59,0,0:17:18,0,,0,0:15:35,0,,0,0:01:24,0,
