Date,Venue,Initialism,Nickname,Longform
10/13,home,NYR,Rangers,New York Rangers
10/16,home,TBL,Lightning,Tampa Bay Lightning
10/19,home,COL,Avalanche,Colorado Avalanche
10/21,away,NJD,Devils,New Jersey Devils
10/23,home,CGY,Flames,Calgary Flames
10/25,away,OTT,Senators,Ottawa Senators
10/27,home,DET,Red Wings,Detroit Red Wings
10/29,home,ARI,Coyotes,Arizona Coyotes
11/1,away,TBL,Lightning,Tampa Bay Lightning
11/4,away,FLA,Panthers,Florida Panthers
11/6,home,PHI,Flyers,Philadelphia Flyers
11/8,home,BUF,Sabres,Buffalo Sabres
11/11,away,DET,Red Wings,Detroit Red Wings
11/12,away,CBJ,Blue Jackets,Columbus Blue Jackets
11/14,home,PIT,Penguins,Pittsburgh Penguins
11/16,away,ANA,Ducks,Anaheim Ducks
11/17,away,LAK,Kings,Los Angeles Kings
11/20,away,SJS,Sharks,San Jose Sharks
11/21,away,SEA,Kraken,Seattle Kraken
11/24,home,MTL,Canadiens,Montreal Canadiens
11/26,home,FLA,Panthers,Florida Panthers
11/28,away,CAR,Hurricanes,Carolina Hurricanes
11/30,away,FLA,Panthers,Florida Panthers
12/2,home,CHI,Blackhawks,Chicago Blackhawks
12/4,home,CBJ,Blue Jackets,Columbus Blue Jackets
12/6,home,ANA,Ducks,Anaheim Ducks
12/10,home,PIT,Penguins,Pittsburgh Penguins
12/11,away,BUF,Sabres,Buffalo Sabres
12/15,away,CHI,Blackhawks,Chicago Blackhawks
12/17,away,WPG,Jets,Winnipeg Jets
12/19,home,LAK,Kings,Los Angeles Kings
12/21,away,PHI,Flyers,Philadelphia Flyers
12/23,away,NYI,Islanders,New York Islanders
12/27,home,OTT,Senators,Ottawa Senators
12/29,home,NSH,Predators,Nashville Predators
12/31,away,DET,Red Wings,Detroit Red Wings
1/2,home,NJD,Devils,New Jersey Devils
1/4,away,MTL,Canadiens,Montreal Canadiens
1/7,away,STL,Blues,St Louis Blues
1/8,away,MIN,Wild,Minnesota Wild
1/10,home,BOS,Bruins,Boston Bruins
1/15,away,NYI,Islanders,New York Islanders
1/16,home,VAN,Canucks,Vancouver Canucks
1/18,home,WPG,Jets,Winnipeg Jets
1/20,away,BOS,Bruins,Boston Bruins
1/22,home,OTT,Senators,Ottawa Senators
1/24,home,VGK,Golden Knights,Vegas Golden Knights
1/26,home,SJS,Sharks,San Jose Sharks
1/28,away,DAL,Stars,Dallas Stars
2/1,away,PIT,Penguins,Pittsburgh Penguins
2/2,home,EDM,Oilers,Edmonton Oilers
2/24,away,NYR,Rangers,New York Rangers
2/26,away,PHI,Flyers,Philadelphia Flyers
2/28,home,TOR,Maple Leafs,Toronto Maple Leafs
3/3,home,CAR,Hurricanes,Carolina Hurricanes
3/5,home,SEA,Kraken,Seattle Kraken
3/8,away,CGY,Flames,Calgary Flames
3/9,away,EDM,Oilers,Edmonton Oilers
3/11,away,VAN,Canucks,Vancouver Canucks
3/15,home,NYI,Islanders,New York Islanders
3/17,away,CBJ,Blue Jackets,Columbus Blue Jackets
3/18,away,CAR,Hurricanes,Carolina Hurricanes
3/20,home,DAL,Stars,Dallas Stars
3/22,home,STL,Blues,St Louis Blues
3/25,away,BUF,Sabres,Buffalo Sabres
3/26,home,NJD,Devils,New Jersey Devils
3/28,home,CAR,Hurricanes,Carolina Hurricanes
4/2,away,NSH,Predators,Nashville Predators
4/3,home,MIN,Wild,Minnesota Wild
4/6,home,TBL,Lightning,Tampa Bay Lightning
4/9,away,PIT,Penguins,Pittsburgh Penguins
4/10,home,BOS,Bruins,Boston Bruins
4/12,home,PHI,Flyers,Philadelphia Flyers
4/14,away,TOR,Maple Leafs,Toronto Maple Leafs
4/16,away,MTL,Canadiens,Montreal Canadiens
4/18,away,COL,Avalanche,Colorado Avalanche
4/20,away,VGK,Golden Knights,Vegas Golden Knights
4/22,away,ARI,Coyotes,Arizona Coyotes
4/24,home,TOR,Maple Leafs,Toronto Maple Leafs
4/26,home,NYI,Islanders,New York Islanders
4/28,home,CBJ,Blue Jackets,Columbus Blue Jackets
4/29,away,NYR,Rangers,New York Rangers
